City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,sao gabriel da cachoeira,-0.1303,-67.0892,25.34,89,68,1.25,BR,1712881188
272,tulun,54.5611,100.5792,0.91,98,100,0.9,RU,1712881201
273,phan thiet,10.9333,108.1,26.86,67,50,3.23,VN,1712881199
274,awjilah,29.1081,21.2869,19.32,27,31,3.11,LY,1712881203
275,saint-paul,-21.0096,55.2707,26.06,85,52,3.56,RE,1712881204
276,wailua homesteads,22.0669,-159.378,27.24,83,0,2.57,US,1712881166
277,san antonio de pale,-1.4014,5.6325,27.65,76,100,1.23,GQ,1712881206
278,tabou,4.423,-7.3528,24.66,93,100,1.05,CI,1712881207
279,guerrero negro,27.9769,-114.0611,21.7,48,93,5.99,MX,1712881193
280,tomatlan,19.9333,-105.25,27.2,49,10,2.7,MX,1712881210
281,gryazovets,58.88,40.2525,7.88,70,90,5.09,RU,1712881211
282,luganville,-15.5333,167.1667,29.88,70,28,2.59,VU,1712881212
283,beledweyne,4.7358,45.2036,29.32,55,100,5.93,SO,1712881213
284,ndele,8.4109,20.6473,28.82,17,46,2.23,CF,1712881215
285,rio grande,-32.035,-52.0986,20.06,60,100,6.63,BR,1712881216
286,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,4.41,RU,1712881217
287,el porvenir,13.7617,-87.3458,31.63,39,40,1.44,HN,1712881219
288,smithers,54.7804,-127.1743,6.47,77,96,1.33,CA,1712881220
289,calingasta,-31.3308,-69.4078,13.93,55,0,5.45,AR,1712881221
290,paita,-5.0892,-81.1144,20.83,93,77,4.56,PE,1712881222
291,daru,-9.0763,143.2092,26.96,83,100,6.21,PG,1712881222
292,babol,36.5513,52.679,13.04,81,100,4.0,IR,1712881224
293,hasaki,35.7333,140.8333,17.38,87,100,4.55,JP,1712881224
294,san luis de la loma,17.2706,-100.8939,27.23,67,5,1.66,MX,1712881225
295,denia,38.8408,0.1057,14.91,80,0,0.89,ES,1712881226
296,coahuayana de hidalgo,18.7,-103.6583,26.52,62,5,2.11,MX,1712881227
297,kota,25.1833,75.8333,27.73,37,98,3.62,IN,1712881228
298,hancheng,32.5186,112.3522,15.92,84,0,1.82,CN,1712881229
299,kill devil hills,36.0307,-75.676,20.01,91,100,18.01,US,1712881161
300,lompoc,34.6391,-120.4579,26.55,66,0,4.63,US,1712881231
301,kabare,-2.4683,28.8242,16.51,96,88,0.53,CD,1712881232
302,namibe,-15.1961,12.1522,22.16,79,3,3.98,AO,1712881233
303,dawei,14.0833,98.2,26.8,83,55,1.36,MM,1712881233
304,myskhako,44.6714,37.7433,13.1,83,100,1.29,RU,1712881235
305,noyabrsk,63.1994,75.4507,-14.31,89,100,8.49,RU,1712881236
306,hengshui,37.7322,115.7011,19.43,68,0,7.85,CN,1712881237
307,napasar,27.9667,73.55,26.68,34,100,4.68,IN,1712881238
308,ondjiva,-17.0667,15.7333,21.68,67,45,2.7,AO,1712881239
309,keflavik,64.0049,-22.5624,3.95,93,75,6.17,IS,1712881157
310,besskorbnaya,44.6447,41.311,12.03,73,99,4.57,RU,1712881221
311,hotan,37.0997,79.9269,16.04,19,23,3.66,CN,1712881242
312,yamada,39.4667,141.95,12.09,73,100,2.83,JP,1712881243
313,kingscliff,-28.2667,153.5667,24.97,64,75,4.63,AU,1712881244
314,ust-tsilma,65.441,52.1498,1.45,99,100,7.6,RU,1712881156
315,cidreira,-30.1811,-50.2056,20.62,80,100,7.79,BR,1712881056
316,dhidhdhoo,6.8833,73.1,29.57,73,1,3.03,MV,1712881246
317,saint-pol-de-leon,48.6833,-3.9833,11.48,70,51,1.79,FR,1712881247
318,itaituba,-4.2761,-55.9836,24.87,98,99,0.48,BR,1712881248
319,kavaratti,10.5669,72.642,28.84,70,4,1.73,IN,1712881249
320,axim,4.8699,-2.2405,25.7,87,100,1.02,GH,1712881250
321,lebu,-37.6167,-73.65,10.99,93,1,2.15,CL,1712880985
322,new norfolk,-42.7826,147.0587,15.72,84,93,0.86,AU,1712881251
323,sao tome,0.3365,6.7273,27.89,75,100,3.4,ST,1712881252
324,soni,-4.85,38.3667,18.9,95,99,1.42,TZ,1712881253
325,santa rosalia,27.3167,-112.2833,23.65,21,100,1.37,MX,1712881053
326,amga,60.8953,131.9608,0.04,97,100,2.57,RU,1712881255
327,mikhaylov,54.2292,39.0186,9.84,71,49,3.2,RU,1712881256
328,ampanihy,-24.7,44.75,19.21,92,95,2.68,MG,1712881036
329,kupang,-10.1667,123.5833,30.32,79,20,4.12,ID,1712881258
330,adh dhayd,25.2881,55.8816,30.4,49,55,1.73,AE,1712881259
331,klaksvik,62.2266,-6.589,8.51,83,80,10.94,FO,1712881260
332,kota kinabalu,5.9749,116.0724,27.99,74,20,2.24,MY,1712880989
333,sultanah,24.4926,39.5857,22.25,18,0,0.0,SA,1712881261
334,zaranj,30.9667,61.8833,23.98,38,100,5.73,AF,1712881262
335,salinopolis,-0.6136,-47.3561,26.69,89,100,3.87,BR,1712881263
336,hailar,49.2,119.7,7.79,79,99,5.42,CN,1712881264
337,santana,-0.0583,-51.1817,26.1,94,100,1.54,BR,1712881265
338,yei,4.095,30.6779,22.3,74,63,1.47,SS,1712881037
339,piacabucu,-10.4056,-36.4344,27.27,80,34,3.56,BR,1712881267
340,san pedro,14.35,121.0167,29.57,73,58,4.47,PH,1712881167
341,ternate,0.8,127.4,27.5,76,92,2.58,ID,1712881268
342,susuman,62.7833,148.1667,-12.23,92,96,1.34,RU,1712881207
343,lincheng,19.9078,109.6858,25.41,79,4,2.63,CN,1712881270
344,malango,-2.9627,119.9001,20.78,100,100,0.46,ID,1712881153
345,kununurra,-15.7667,128.7333,25.99,47,40,3.09,AU,1712881272
346,nandu,22.8525,110.8233,24.08,86,100,1.21,CN,1712881273
347,stefan voda,46.5153,29.6631,15.84,70,51,5.53,MD,1712881274
348,beira,-19.8436,34.8389,24.05,78,100,4.63,MZ,1712881275
349,touros,-5.1989,-35.4608,26.21,88,99,2.87,BR,1712881145
350,ambodifotatra,-16.9833,49.85,25.84,89,50,1.24,MG,1712881156
351,oltinko'l,40.8011,72.1634,17.99,36,95,2.65,UZ,1712881278
352,baardheere,2.3446,42.2764,28.36,74,64,4.2,SO,1712881279
353,richards bay,-28.783,32.0377,17.81,62,70,6.02,ZA,1712881280
354,victorica,-36.2151,-65.4359,8.35,81,100,6.43,AR,1712881281
355,pont rouge,48.8833,-72.0825,6.06,94,100,5.99,CA,1712881282
356,aykhal,66.0,111.5,-22.4,93,93,2.26,RU,1712881283
357,la ronge,55.1001,-105.2842,4.14,65,20,4.63,CA,1712881284
358,al jawf,29.5,38.75,18.43,36,0,2.85,SA,1712881154
359,durango,24.8333,-104.8333,24.36,9,69,5.2,MX,1712881199
360,nueva gerona,21.8833,-82.8,27.94,69,92,4.47,CU,1712881286
361,chui,-33.6971,-53.4616,17.74,56,98,3.58,UY,1712881287
362,gaiman,-43.2897,-65.4929,14.29,43,100,5.71,AR,1712881012
363,ocean shores,46.9737,-124.1563,11.64,91,100,3.13,US,1712881289
364,trincomalee,8.5711,81.2335,28.35,77,76,4.82,LK,1712881291
